metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,reference_id,scenario_id,scenario_key,family,level_idx,level_factor,lead_steps,delay_steps,score_raw,score_oriented,base_score_oriented,score_gap,normalized_penalty,normalized_score
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__late_detection_l02,late_detection_l02,late_detection,2,0.75000000,0,4,0.20952236,-0.20952236,-0.25000000,-0.04047764,-0.16191054,1.16191054
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__late_detection_l03,late_detection_l03,late_detection,3,0.50000000,0,9,0.25308642,-0.25308642,-0.25000000,0.00308642,0.01234568,0.98765432
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__late_detection_l04,late_detection_l04,late_detection,4,0.25000000,0,14,0.37962963,-0.37962963,-0.25000000,0.12962963,0.51851852,0.48148148
add,binary,True,TEM,TMEM,TEM/TMEM,r2_single_long,r2_single_long__late_detection_l05,late_detection_l05,late_detection,5,0.10000000,0,16,0.45370370,-0.45370370,-0.25000000,0.20370370,0.81481481,0.18518519
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__on_time,on_time,on_time,0,0.00000000,0,0,0.24953704,-0.24953704,-0.24953704,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__early_warning_l01,early_warning_l01,early_warning,1,0.25000000,4,0,0.24953704,-0.24953704,-0.24953704,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__early_warning_l02,early_warning_l02,early_warning,2,0.50000000,9,0,0.24953704,-0.24953704,-0.24953704,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__early_warning_l03,early_warning_l03,early_warning,3,0.75000000,14,0,0.24953704,-0.24953704,-0.24953704,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__early_warning_l04,early_warning_l04,early_warning,4,1.00000000,18,0,0.24953704,-0.24953704,-0.24953704,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__early_warning_l05,early_warning_l05,early_warning,5,1.25000000,22,0,0.24953704,-0.24953704,-0.24953704,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__late_detection_l01,late_detection_l01,late_detection,1,0.90000000,0,2,0.23503909,-0.23503909,-0.24953704,-0.01449795,-0.05799179,1.05799179
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__late_detection_l02,late_detection_l02,late_detection,2,0.75000000,0,4,0.21492674,-0.21492674,-0.24953704,-0.03461030,-0.13844119,1.13844119
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__late_detection_l03,late_detection_l03,late_detection,3,0.50000000,0,9,0.26306306,-0.26306306,-0.24953704,0.01352603,0.05410410,0.94589590
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__late_detection_l04,late_detection_l04,late_detection,4,0.25000000,0,14,0.38238095,-0.38238095,-0.24953704,0.13284392,0.53137566,0.46862434
add,binary,True,TEM,TMEM,TEM/TMEM,r3_multi_short,r3_multi_short__late_detection_l05,late_detection_l05,late_detection,5,0.10000000,0,16,0.46190476,-0.46190476,-0.24953704,0.21236772,0.84947090,0.15052910
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__on_time,on_time,on_time,0,0.00000000,0,0,0.24960000,-0.24960000,-0.24960000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__early_warning_l01,early_warning_l01,early_warning,1,0.25000000,4,0,0.24960000,-0.24960000,-0.24960000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__early_warning_l02,early_warning_l02,early_warning,2,0.50000000,9,0,0.24960000,-0.24960000,-0.24960000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__early_warning_l03,early_warning_l03,early_warning,3,0.75000000,14,0,0.24960000,-0.24960000,-0.24960000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__early_warning_l04,early_warning_l04,early_warning,4,1.00000000,18,0,0.24960000,-0.24960000,-0.24960000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__early_warning_l05,early_warning_l05,early_warning,5,1.25000000,22,0,0.24960000,-0.24960000,-0.24960000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__late_detection_l01,late_detection_l01,late_detection,1,0.90000000,0,2,0.22363636,-0.22363636,-0.24960000,-0.02596364,-0.10385455,1.10385455
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__late_detection_l02,late_detection_l02,late_detection,2,0.75000000,0,4,0.20842105,-0.20842105,-0.24960000,-0.04117895,-0.16471579,1.16471579
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__late_detection_l03,late_detection_l03,late_detection,3,0.50000000,0,9,0.26000000,-0.26000000,-0.24960000,0.01040000,0.04160000,0.95840000
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__late_detection_l04,late_detection_l04,late_detection,4,0.25000000,0,14,0.38000000,-0.38000000,-0.24960000,0.13040000,0.52160000,0.47840000
add,binary,True,TEM,TMEM,TEM/TMEM,r4_two_close,r4_two_close__late_detection_l05,late_detection_l05,late_detection,5,0.10000000,0,16,0.46000000,-0.46000000,-0.24960000,0.21040000,0.84160000,0.15840000
